Applicant Details,,"Eligibility Criteria
Decision Box – Eligibility
application_214_bundle.zip,Applicant_214,MC/3396/2023,Meru,Dairy,Nil,721244946,Fail,No financial records provided ,4,Legally registered and operating for 2 years ,0,No verifiable financial statement given,4,Active local and export demand in flowers,4,"Clear goals(expand their flower plantation,job opportunities ",0,Engaging in horticulture ,2,"30& women members,30& youths members green practices such as use of bio gas,solar power,farmyard manure, and Agroforestry ",DQ1,Tier 2,80,0,80,80,0,40,8,0,16,20,0,4,48,#N/A,0,520,
application_215_bundle (1).zip,Applicant_215,PVT-9XUKGV82,Kajiado,Construction,Bank Statements,718417554,Pass,All requirements met and satisfied,5,well-structured company with clear track record,4,"Turnover: steady growth → 5M (2022), 7M (2023), 9M (2024).",4,"competitive with niche service edge, but limited by machinery",4,"realistic, investment-focused, but proposal could use stronger financial projections",5,Fully integrated in construction VC: raw material sourcing → production → installation.,4,"excellent youth inclusion & sustainability, but no strong gender ownership/leadership",,Tier 1,100,80,80,80,100,80,10,16,16,20,15,8,85,0,85,52,Alvin
application_216_bundle.zip,Applicant_216,PVT-8LUX5XG,Uasin Gishu,Construction,Balance Sheets,722315291,Pass,All requirements met and satisfied,4,"legitimate and consistent, but membership base is small",3,"Turnover: 4.3M (2022), 7.2M (2023), 9.0M (2024).",4,"clear demand with diverse clients, but competitive pressures remain high",4,"growth-oriented plan, but requires capital and technical BDS support to de-risk",5,well integrated in the construction value chain),3,"good sustainability, but weak gender inclusion",,Tier 1,80,60,80,80,100,60,8,12,16,20,15,6,77,0,77,111,Alvin
application_217_bundle.zip,Applicant_217,PVT-AAACXE5,Uasin Gishu,Construction,Balance sheets ,722315291,Pass,All requirements met and satisfied,4,"legitimate registration, stable but limited growth in membership",1,"Turnover: 24.5M (2022), 28.5M (2023), 38.2M (2024).",4,"products are in high demand, but strong competitive pressures",3,"vision is ambitious, but viability is constrained by financial losses",5,excellent alignment across value chain,3,"good youth and environmental practices, weak women participation",,Tier 1,80,20,80,60,100,60,8,4,16,15,15,6,64,0,64,219,Alvin
application_218_bundle.zip,Applicant_218,BN-DBCP 2557,Kericho,Dairy,Bank Statements,722941958,Pass,All requirements met and satisfied,4,"Works with 350+ smallholder farmers (supply aggregation). Formalized operations, processing, packaging, and structured marketing channels. Expansion plans into Lake Region & COMESA markets",5,"Strong financial record, realistic projections, and profit-driven model.",4,"Strong market strategy with cultural uniqueness, though still scaling and facing large processors.",4,"profitable, scalable, and well-structured business model with year-on-year growth, clear expansion strategy, and strong alignment with formal market requirements. Risks are acknowledged with mitigation plans. Growth viability is very strong.",4,fully aligned under Dairy (excluding farming) because its business model is centered on processing and value addition,4,"Strong youth representation, balanced gender at employee level, but not formally woman-owned.",,Tier 2,80,100,80,80,80,80,8,20,16,20,12,8,84,0,84,59,Alvin
application_219_bundle.zip,Applicant_219,DSD/23/123/02/37810,Turkana,Construction,Mpesa statement,728986068,Fail,Mpesa statement is locked and cant be verified ,4,"Legally registered, with functional leadership and consistent growth; governance practices are visible but small scale.",0,Submitted locked Mpesa statement,4,"Shows consistent market engagement, local institutional clients, and competitive positioning with a sustainability edge.",4,"Strong and forward-looking plan, though reliant on external support and donor funding.",5,Fully integrated in the Construction VC with clear value-addition and training linkages.,5,"Strong inclusion and sustainability focus — gender, youth, and environmental balance achieved.",,Tier 1,80,0,80,80,100,100,8,0,16,20,15,10,69,0,69,173,
application_220_bundle.zip,Applicant 220,BN-GVCQXMLZ,Baringo,Dairy,Mpesa statement,719220779,Pass,A registered business that is in line with the scope and mpesa financial evidence,5,registered for 5 years,4,has a turnover of about 8M,3,has regular local sale to customers and excess to brookside,2,problem statement is not clear and not quntifieable ,3,the linkages are weak but with potential for growth,3,moderate inclusion of women and the youth,,Tier 2,100,80,60,40,60,60,10,16,12,10,9,6,63,0,63,230,Magdaline
application_221_bundle.zip,Applicant 221,CS/28623(unverifiable),Kericho,Dairy,unverifiable annual report & financial statement,726363756,Fail,unverifiable documents of registration and financial evidence.,0,No registration detail ,1,Thin evidence,2,regular local demand,3,Clear direction,2,operates in dairy farming,5,Strong gender participation + multiple green practices,P2,,0,20,40,60,40,100,0,4,8,15,6,10,43,3,40,454,
application_222_bundle.zip,Applicant 222,CS/14117,Laikipia,Construction,bank statement,720069704,Pass,A registered co-operative that is in line with the scope and has bank statement financial evidence.,5,registered for 14 years,3,has a turnover of 3M as is in the bank statement.,4,Has growing channels including digital marketing,2,the problem statement is vague without clear and quantifiable target and solution,3,there are weak linkages with potential for growth,4,there is strong youth and women participation the operations of the co-operative.,,Tier 1,100,60,80,40,60,80,10,12,16,10,9,8,65,0,65,206,Magdaline
application_223_bundle.zip,Applicant_223,PVT/2016/027737,Kiambu,Other,Cash Book registry,721518182,Fail,Out of scope in value chain for agro-economics,4,registered for more than 8 yearas,2,Growing turn,3,consistent sales,3,Clear direction,2,deals with vegetables and poultry farming,2,moderate inclusion,P2,,80,40,60,60,40,40,8,8,12,15,6,4,53,3,50,370,
application_224_bundle.zip,Applicant  224,CS/14895,Nyandarua,Textile,Statement of Cashflows,712495964,Pass,All requirements met and satisfied,5,"Legally compliant cooperative with strong growth in members and workforce, showing organizational stability.",2,"Strong sales growth but no profitability indicates high costs, inefficiency, or reinvestment without surplus.",4,"Competitive advantage through raw material access and diversified market channels, though facing established urban competitors.",4,"Ambitious and well-targeted expansion plan to boost efficiency, product quality, and inclusivity.",5,"Deep participation in multiple stages of value chain, with potential for diversification and strong local linkages.",5,Strong environmental conservation measures and proactive inclusivity programs.,,Tier 1,100,40,80,80,100,100,10,8,16,20,15,10,79,0,79,93,Alvin
application_225_bundle.zip,Applicant 225,PVT-7LUZ9MG,Kitui,Construction,Cash Based Books,721353490,Pass,All requirments met and satisfied ,4,"Properly registered, with stable growth.",5,Very high profitability and consistent growth,4,Strong positioning for future expansion,5,"Strong environmental stewardship and inclusivity, directly addressing ecological risks of sand harvesting.",3,"Still at lower-value stage, but clear vision to move up value chain with packaging equipment.",5,"Strong environmental stewardship and inclusivity, directly addressing ecological risks of sand harvesting.",,Tier 2,80,100,80,100,60,100,8,20,16,25,9,10,88,0,88,37,Alvin
application_226_bundle.zip,Applicant 226,CS/16456,Murang'a,Dairy,Bank statements,721535328,Pass,All requirments met and satisfied ,4,"Legally compliant and with a good operational record. Slight weaknesses: relatively modest profits compared to turnover, suggesting efficiency challenges.",3,High revenue volume but very low profitability and declining net income signal cost inefficiencies or weak bargaining power.,3,"Local brand strength among farmers, but currently lacks differentiated product presence in consumer markets.",4,"Ambitious and practical roadmap. However, financing and execution capacity remain uncertain.",3,Presently stuck at low-value segment of dairy chain.,3,Some environmental efforts but relatively minimal scale.,,Tier 1,80,60,60,80,60,60,8,12,12,20,9,6,67,0,67,191,Alvin
application_227_bundle.zip,Applicant 227,CS/26626,Kakamega,Other,Bank statements,722554727,Fail,Out of scope in value chain and low absolute turnover,5,registered >3yrs,1,thin evidence,0,no market evidence,3,clear direction,5,linkage upstream and downstream,3,moderate inclusions,,,100,20,0,60,100,60,10,4,0,15,15,6,50,0,50,370,
application_228_bundle.zip,Applicant 228,CS/26373,Kericho,Other,Balanced sheet and income statements,720463580,Fail,Out of scope in value chain and very weak finanacial history,4,registered for more than 4 years,3,Strong turn over with financial document to verify,3,consistent sales,3,clear goals,2,operates in avocado harvesting and processing them in making of oil,5,Strong gender participation + multiple green practices,P1,,80,60,60,60,40,100,8,12,12,15,6,10,63,5,58,284,
application_229_bundle.zip,Applicant 229,CS/29989,Turkana,Construction,Bank statements,797405556,Pass,All requirments met and satisfied ,3,Formally structured but inconsistency in membership raises governance questions.,3,"Demonstrates growth with sustainability, but still limited financial base for scaling.",3,"Demand is steady in construction, but competition from informal players and brokers reduces competitiveness.",3,Clear growth vision but heavily reliant on external support for machinery and skills.,4,Fully embedded in the construction value chain with potential for vertical expansion.,4,Good gender/youth participation and visible environmental practices.,,Tier 1,60,60,60,60,80,80,6,12,12,15,12,8,65,0,65,206,Alvin
application_230_bundle.zip,Applicant_230,CS/28659,Kericho,Dairy,Balance Sheet,723892359,Pass,All requirments met and satisfied ,3,"Registered cooperative, in operation at least since 2022; structured governance with named officials.",2,(turnover <1M; sporadic/unstable records,3,"Mix of B2B & B2C but no digital channels; small scale, but recurring sales.",3,"clear direction, generic targets, rough budget",4,"Operates in priority dairy VC, handling aggregation & some value addition.",5,"≥50% women, sustainability practices adopted",,Tier 1,60,40,60,60,80,100,6,8,12,15,12,10,63,0,63,230,Alvin
application_231_bundle.zip,Applicant_231,CS/12-451,Meru,Other,Bank statements,720408877,Fail,Out of scope in value chain for soap production,4,Legally registered and operating for 2 years ,0,No verifiable financial statement given ,4,Active local and online demand of clothes ,4,Clear goals ( expand their marketing strategy by having online marketing team) and also reducing the cost of the clothes ,0,Engage in textiles farming ( making of maternity wears,4,"50& women,30& youths use of biodegradable fabrics like cotton,the cuts from materials are recycled ",,Tier 2,80,0,80,80,0,80,8,0,16,20,0,8,52,0,52,344,
application_232_bundle.zip,Applicant_232,PVT-MKU9ELKQ,Mombasa,Blue Economy,Mpesa-Statement,755686506,Pass,All requirments met and satisfied ,4,"Formally registered private company, structured with CEO & CFO. Active in seafood & catering since 2022, still young compared to older cooperatives.",3,"Growth from Ksh 40k (2022) → 70k (2023) → 1M (2024). Profitability present, but 2024 net profit margin is thin (~7%). Scaling rapidly, but financials are still modest.",4,"Serves households (75%), restaurants & hotels (25%). Competes with local distributors but differentiates through sustainability & catering niche. Exploring Nairobi market shows strong demand potential.",4,"Clear expansion plan: Nairobi entry, cold storage & transport investment, partnerships with restaurants, digital marketing. Viable but depends on stabilizing raw material supply.",4,"Engages in procurement (from fishermen), processing (cleaning, packaging, cooking), and marketing (B2B + B2C, plus e-commerce). Well integrated but lacks large-scale infrastructure.",5,"40% women, women in leadership, 100% youth members (18–35). Sustainable fishing practices, waste reuse, energy efficiency, and community partnerships for biodiversity. Strong inclusivity & green practices.",,Tier 2,80,60,80,80,80,100,8,12,16,20,12,10,78,0,78,102,Alvin
application_233_bundle.zip,Applicant_233,CS/11971,Nakuru,Dairy,Statement of Cashflows,722838014,Pass,All requirments met and satisfied ,5,"Established cooperative since 2008, with governance structures (BoM, supervisory committee, sub-committees). Long track record in dairy aggregation and processing.",3,"Strong turnover (Ksh 109M → 120M → 135M). However, profits have been inconsistent: large losses in 2022 & 2023, only small net profit in 2024 (Ksh 279k). Good accounting package (Sky Dairy), but weak profitability lowers score.",4,"Serves Subukia, Nakuru, Nyahururu; clients include milk bars, hospitals, schools. Has processing capacity (16,200L storage, 2,000 LPH pasteurizer, cheese line). Competes with private processors but strong customer base and stable demand.",4,"Plans for UHT milk, depots in Kisii, Kisumu, Narok, Kakamega, Bungoma. Targets backed by processing infrastructure. Clear mission/vision. Business proposal is strong but market expansion challenge noted in problem statement.",5,"Active in aggregation, processing, marketing, input supplies, financial services, training. Occupies multiple steps of dairy value chain.",4,"42% women members, female leadership in supervisory committee (66%), youth involved in milk collection. Sustainability efforts include solar pumping and wastewater management. Still limited youth representation (19/1830).",,Tier 1,100,60,80,80,100,80,10,12,16,20,15,8,81,0,81,78,Alvin
