,,"Eligibility Criteria
Decision Box – Eligibility
If any E1–E5 fails → mark INELIGIBLE; exclude from scoring.
If all pass → proceed to Primary Criteria scoring.",,,,,,,"Scoring Rubrics (0–5 anchors per criterion)
Choose the best-fit level per criterion.
Evidence Box – Financial
Accept: bank/M-Pesa PDFs, screenshots (machine-readable if possible), Excel exports, signed income summaries, simple stock/COGS ledgers.",,,,,,,,,,,, Disqualifiers & Penalties,TIERS,NORMALIZED SCORE,,,,,,WEIGHTED SCORING,,,,,,,COMPOSITE SCORE,,RANK,
application_KJET-20251229172858-OMWU_with_attachments_2026-01-13_17-31-19,Applicant_KJET-20251229172858-OMWU,CPR/2014/153487,BUNGOMA,Construction Materials,,yes-Balancesheet and bank statement attached,yes-phone number and email adress given.,"Company Limited by Guarantee (Reg. CPR/2014/153487) since 2014, that deals with building of construction materials.",5,"12 years of operational history. The transition from 34 to 65 members indicates strong community integration and scalability.Organized leadership(chairperson,secretary,treasurer)",3,"2019 Turn Over is KSH 1,581,798 while that of 2020 is KSH 1,531,783.There is a slight drop with the turn over though they have taken measures of improving it.",3,"They sell both B2B and B2C ,But luck any online sells.",3,Their focus on producing vibrated blocks and concrete fencing posts aligns with the housing boom in Western Kenya. They accurately identify the need for modern machinery to achieve consistent product quality.No budget written down.,4,"Constructions is one of the main Value Chain that is being evaluated,the only problem is that   they only do bricks making in small quantity.",3,"High youth involvement (49 out of 65 members are 18–35). While they mention SDGs and green technology, the application lacks specific details on how they reduce environmental impact (e.g., use of fly ash or recycled aggregates).",,,100,60,60,60,80,60,10,12,12,15,12,6,67,0,67,#VALUE!,
application_KJET-20251230205142-VJBO_with_attachments_2026-01-13_17-31-18,Applicant_KJET-20251230205142-VJBO,CPR2012/78999,BUNGOMA,Edible Oils,,yes-balance sheet attached,yes-phone number and email adress given.,Private Company (CPR2012/78999) established in 2012  that deals with the processing of avocado oils,5,"Operating since 2012 (14 years). They possess a TVETA-registered training center, KEPHIS certification, and AFA registration. This is a mature, high-compliance entity.With an organized leadership(chairperson
ceo
manager)",3,"Turn Over for 2022 is KSH 2,091,468 while that for 2023 is KSH2,224,267 this shows that there is a positive trend for their sells.",3,They have a signed contract with Natural Harvest LLC (USA) for 90 tons/month. Their strategy of using reject fruits (40% of Kenya's crop) solves a massive market failure while lowering raw material costs.No online market involved.,3,"The proposal to acquire the Amenduni REX 250 Decanter from Italy is a game-changer. Their integration of solar water systems, 3-phase power readiness, and fiber connectivity shows they are shovel-ready for industrialization.No budget allocated.",5,"Edible oils are a top KJET priority to reduce Kenya's import bill,this association deals with processing of avocado oils and selling them as ready oil for cook to their consumers.There is both dowstream and upward linkages.",4,"Shammah Agribiz has 20% Director shareholding owned by a woman and 30% out of the Board members are
women i.e 3 out of 7 board members.Their green initiatives are world-class: converting waste into biogas (30% power saving), solarized boreholes, and a planned partnership for avocado-based bio-plastics.",,,100,60,60,60,100,80,10,12,12,15,15,8,72,0,72,#VALUE!,
application_KJET-20251231180510-MWKV_with_attachments_2026-01-13_17-31-08,Applicant_KJET-20251231180510-MWKV,A6972,BUNGOMA,Coffee,,yes-bank statement attached,yes-phone number and email adress given.,CBO (Reg. A6972) established in 2017 that deals with processing of coffee.,"Established in 2017 (9 years in existence) with a well structured leadership(chairperson,secretary,treasurer).",,2,"Their end year cumulative sale for 2025 is KSH 295,170 ,there is a positive trend through out the year although the cumulative sale does not add up to 1M.",3,"They have a clear grasp of the different coffee grades available.Their B2C focus in local markets is a safe start, but their intent to target urban cafés and institutions shows a correct understanding of high-margin opportunities.No omline sale or international sales.",,"Their equipment list is professional and spans the entire post-harvest cycle. Specifically, the inclusion of Moisture Meters and Raised African Drying Beds shows they prioritize quality control, which is the only way to fetch Specialty Coffee prices.They did not give exact figures for buying the equipments.",5,"main products include processed coffee, primarily clean green coffee
beans and parchment coffee, with smaller quantities of roasted and ground coffee for the local market. Sales of
processed coffee contribute approximately 65–70% of the organization’s annual turnover. Coffee processing and
value-addition services such as pulping, fermentation, washing, drying, grading, and basic packaging contribute
about 20%, while training, extension services, and community workshops on quality coffee production and
entrepreneurship account for the remaining 10–15%.

4. CONTACT INFORMATION
Primary contact details for follow-up and communication.",5,"80% of the members are women,all leaders are women,WONEP has adopted several environmentally friendly practices to ensure sustainable coffee production and
processing. The cluster promotes sun-drying on raised beds to reduce energy use and maintain coffee quality.
Water-efficient washing channels and wastewater management minimize water wastage and environmental
contamination. Coffee pulp and organic waste are composted to enrich soil naturally, while shade-grown coffee and
agroforestry practices help preserve soil fertility, prevent erosion, and support biodiversity. The cluster is exploring
solar-powered processing systems to reduce reliance on fossil fuels. Additionally, members adopt climate-smart
practices, including drought-tolerant coffee varieties, to build resilience against changing weather patterns. These
initiatives enhance environmental sustainability while improving product quality and community livelihoods",,,#VALUE!,40,60,0,100,100,#VALUE!,8,12,0,15,10,#VALUE!,0,#VALUE!,#VALUE!,
application_KJET-20251231193837-WULF_with_attachments_2026-01-13_17-31-06,Applicant_KJET-20251231193837-WULF,68109,BUNGOMA,Textiles,,no-balance sheet attached showing assets and liabilities of the association.,yes-phone number and email adress given.,CBO (Reg. 0068109) established in 2022 that deals with training people how to make cloths.,4,,0,The balance sheet showed the liabilities and assets of the CBO nstead of the Turn Over hence vague verification details.,3,"They have a diversified income stream (Training, Boarding, Outreach). Their Faith-based niche provides a built-in community network that reduces marketing costs and improves learner retention.Their trainings are all locally not even online training do they do.",3,"The proposal focuses on expanding boarding and laboratory facilities. While essential, the KJET program prioritizes equipment that directly increases production in the value chain. Their plan to buy additional vocational machines aligns well, but needs more specificity on textile output. No budget in figures given.",3,"Strong alignment with the Textiles sector, though their primary output is skilled labor rather than finished garments.They have a very big potential to growth.",5,"55 of their 80 members are women. Their green initiatives (Rainwater harvesting, waste segregation, and energy-efficient lighting) are well-integrated into their campus management",,,80,0,60,60,60,100,8,0,12,15,9,10,54,0,54,#VALUE!,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application_KJET-20251208122736-W9KP_with_attachments_2026-01-13_17-34-33,Applicant_KJET-20251208122736-W9KP,CS/22093,BUSIA,Blue Economy,,yes,yes,all requirements available,5,registered since 2017,1,minimal transaction for the bank statement,3,regular channels of sale,3,clear plan with no budget,4,priority value chain with value addition,4,has both youth and women with some green practices,,,100,20,60,60,80,80,10,4,12,15,12,8,61,0,61,8,
application_KJET-20251210115009-QZYB_with_attachments_2026-01-13_17-34-30,Applicant_KJET-20251210115009-QZYB,CPR_2015_213490,BUSIA,Construction Materials,,yes,yes,all requirements available,5,registered since 2015,3,turnover on sales is above 1M,0,No channels of sales have shown,3,clear plan with no budget,3,priority value chain with weak linkages,0,no evidence of inclusion,,,100,60,0,60,60,0,10,12,0,15,9,0,46,0,46,13,
application_KJET-20251211171416-F0ZL_with_attachments_2026-01-13_17-34-27,Applicant_KJET-20251211171416-F0ZL,BN-2RCAQJK,BUSIA,Textiles,,yes,yes,all requirements available,5,registered as a business in 2018,1,minimal transaction for the financial statement,3,regular local channel of sale,3,clear plan with no budget,3,priority value chain with weak linkages,4,has both youth and women with some green practices,,,100,20,60,60,60,80,10,4,12,15,9,8,58,0,58,10,
application_KJET-20251212152114-6FXQ_with_attachments_2026-01-13_17-34-21,Applicant_KJET-20251212152114-6FXQ,PVT-8LU76JLB,BUSIA,Dairy,,yes,yes,all requirements available,4,registered since 2023,2,turnover less than 1M with irregular transactions,3,regular local channel of sale,3,clear plan with no budget,3,priority value chain with weak linkages,4,has both youth and women with some green practices,,,80,40,60,60,60,80,8,8,12,15,9,8,60,0,60,9,
application_KJET-20251212165638-QFSD_with_attachments_2026-01-13_17-34-19,Applicant_KJET-20251212165638-QFSD,CPR/2013/110557,BUSIA,Construction Materials,,yes,yes,all requirements available,5,registered as a company in 2013,0,no verifiable financial documents,3,regular local channel of sale,3,clear plan with no budget,3,priority value chain with weak linkages,4,has both youth and women with some green practices,,,100,0,60,60,60,80,10,0,12,15,9,8,54,0,54,12,
application_KJET-20251220110421-MG8R_with_attachments_2026-01-13_17-34-16,Applicant_KJET-20251220110421-MG8R,SMA/CBO/203439423,BUSIA,Blue Economy,,yes,yes,all requirements available,4,registered in 2023 as a CBO,1,Irregular and minimal transactions,3,regular local channel of sale,3,clear plan with no budget,3,priority value chain with weak linkages,4,has both youth and women with some green practices,,,80,20,60,60,60,80,8,4,12,15,9,8,56,0,56,11,
application_KJET-20251223123926-XOEC_with_attachments_2026-01-13_17-34-12,Applicant_KJET-20251223123926-XOEC,CS/23762,BUSIA,Dairy,,yes,yes,all requirements available,5,registered in 2019 as a cooperative,2,turnover less than 1M.,3,regular local channel of sale,3,clear plan with no budget,3,priority value chain with weak linkages,4,has both youth and women with some green practices,,,100,40,60,60,60,80,10,8,12,15,9,8,62,0,62,6,
application_KJET-20251224112441-HVFJ_with_attachments_2026-01-13_17-34-10,Applicant_KJET-20251224112441-HVFJ,BN-6GCKAKMZ,BUSIA,Edible Oils,,yes,yes,all requirements available,5,registered as a business in 2020,2,turnover less than 1M.,3,has 2 regular local channel of sale,3,clear plan with no budget,5,priority value chain with production and processing ,4,has both youth and women with some green practices,,,100,40,60,60,100,80,10,8,12,15,15,8,68,0,68,2,
application_KJET-20251224145133-XPXX_with_attachments_2026-01-13_17-34-08,Applicant_KJET-20251224145133-XPXX,1289,BUSIA,Construction Materials,,yes,yes,all requirements available,4,registered as a juakali association since 2023,2,turnover less than 1M.,3,has 2 regular local channel of sale,3,clear plan with no budget,4,priority value chain involved in production,4,has both youth and women with some green practices,,,80,40,60,60,80,80,8,8,12,15,12,8,63,0,63,5,
application_KJET-20251225155118-BGXM_with_attachments_2026-01-13_17-34-06,Applicant_KJET-20251225155118-BGXM,CS/25236,BUSIA,Rice,,yes,yes,all requirements available,5,registered since 2020,1,minimal and irregular transactions,3,has 2 regular local channel of sale,3,clear plan with no budget,5,priority value chain involved in aggregation and selling the rice,4,has both youth and women with some green practices,,,100,20,60,60,100,80,10,4,12,15,15,8,64,0,64,3,
application_KJET-20251226122246-B9TA_with_attachments_2026-01-13_17-34-03,Applicant_KJET-20251226122246-B9TA,PVT/2016/019767,BUSIA,Edible Oils,,yes,yes,all requirements available,5,registered as a private company in 2016,2,turnover less than 1M.,3,has 2 regular local channel of sale,3,clear plan with no budget,5,"priority value chain involved in aggregation , production and selling the products",1,token inclusion with no green practices,,,100,40,60,60,100,20,10,8,12,15,15,2,62,0,62,6,
application_KJET-20251227114013-XMGQ_with_attachments_2026-01-13_17-33-53,Applicant_KJET-20251227114013-XMGQ,PVT-ZQULGMYB,BUSIA,Blue Economy,,yes,yes,all requirements available,5,registered in 2022 as a private company,2,turnover less than 1M.,4,has regular local channel of sale including digital marketing,3,clear plan with no budget,5,"priority value chain involving raw material procurement, processing, manufacturing, and distributing finished products to fish farmers,",4,has both youth and women with some green practices,,,100,40,80,60,100,80,10,8,16,15,15,8,72,0,72,1,
application_KJET-20251231130915-PIVB_with_attachments_2026-01-13_17-33-51,Applicant_KJET-20251231130915-PIVB,ASS-CFA8A5B,BUSIA,OTHER,,yes,yes,all requirements available,5,registered as association in 2021,1,minimal and irregular transactions,3,has 2 regular local channel of sale,3,clear plan with no budget,5,"priority value chain involved in aggregation , production and selling the products",4,has both youth and women with some green practices,,,100,20,60,60,100,80,10,4,12,15,15,8,64,0,64,3,
